Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
321004,Turkey (frozen),<p>3.5kg - 4.5kg</p>,Karima,Poultry,"Chemical free, Frozen",true,Title,Default Title,,,,,Turkey(frozen),0,shopify,6,deny,manual,250.00,,true,false,"",https://cdn.shopify.com/s/files/1/0106/4982/products/2a6f9c73c03c6709ce02e8dd98c190aa2c4fd580.jpeg?v=1450696915,,false,,,,,,,,,,,,,,,,,kg
281200,Noodle Spaghetti,<p>198g</p>,Hv,Pasta,"gluten free, Organic, pasta, Weight loss",true,Title,Default Title,,,,,281200,0,shopify,21,deny,manual,25.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
281183,Whole Shiitake Mushrooms,<p>25g</p>,Hv,Vegetable,"Dried, Vegan, Vegetarian",true,Title,Default Title,,,,,281183,0,shopify,12,deny,manual,85.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
281182,Wakame Flakes,<p>30g</p>,Hv,Spices,"Dried, Natural",true,Title,Default Title,,,,,281182,0,shopify,10,deny,manual,120.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
281163,Vegetable Soup Mix,<p>794g</p>,Hv,Grains,"Dried; Grains; Soup, Vegetarian; Vegan",true,Title,Default Title,,,,,281163,0,shopify,3,deny,manual,65.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
281189,Thin Spelt & Flax Seeds Cake,<p>130g</p>,Hv,Snacks,"All natural, Weight loss, Whole grain",true,Title,Default Title,,,,,281189,0,shopify,12,deny,manual,25.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
281186,Thin Ricecakes - Salted (gluten free),<p>139g</p>,Hv,Snacks,"All natural, gluten free, Weight loss, Whole grain",true,Title,Default Title,,,,,281186,0,shopify,12,deny,manual,25.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
281187,Thin Multigrain Cakes,<p>139g</p>,Hv,Snacks,"All natural, Weight loss, Whole grain",true,Title,Default Title,,,,,281187,0,shopify,12,deny,manual,25.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
281188,Thin Buckwheat & Flax Seeds Cake (gluten free),<p>130g</p>,Hv,Snacks,"All natural, gluten free, Weight loss, Whole grain",true,Title,Default Title,,,,,281188,0,shopify,12,deny,manual,25.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
281174,Textured Vegetable Protein,<p>283g</p>,Hv,Food supplements,"All natural; Gluten free, Vegan; Weight loss, Vegetarian",true,Title,Default Title,,,,,281174,0,shopify,4,deny,manual,50.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
