Product,Brand,Type,Revenue,Gross Profit,CMGR,Period,%Total Revenue,Average Revenue,Average Gross Profit,% Variation from Average,%Total Gross Profit
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,1492.9,271.9,10.6505775564,38.0,0.0653444152822,1229.6358945,313.21535177,21.4099235944,0.0467218959329
ACAI BERRY JUICE,Berry company,Juices,308.0,78.0,9.23288997809,26.0,0.0134811976066,1229.6358945,313.21535177,-74.9519348469,0.0134031183625
ACNE FACIAL SOAP,Healing Herbs,Cosmetics,110.0,22.0,3.3557783007,21.0,0.00481471343094,1229.6358945,313.21535177,-91.0542624453,0.00378036671763
ACQUA PANA WATER 1000ML,NGS,Beverages,10.0,10.0,0.0,24.0,0.000437701220994,1229.6358945,313.21535177,-99.1867511314,0.00171834850801
ACQUA PANA WATER 500ML,NGS,Beverages,6.5,6.5,0.0,24.0,0.000284505793646,1229.6358945,313.21535177,-99.4713882354,0.00111692653021
ACQUA PANA WATER 500ML GLASS,NGS,Beverages,9.0,9.0,0.0,24.0,0.000393931098895,1229.6358945,313.21535177,-99.2680760183,0.00154651365721
ACTIBIF CHEESE (FOR BETTER DIGESTION),0,cheese,340.0,80.0,22.2844544994,8.0,0.0148818415138,1229.6358945,313.21535177,-72.3495384673,0.0137467880641
AGAR AGAR FLAKES (HAND HARVESTED) - WILD,0,Food supplements,602.0,155.75,19.351283717,11.0,0.0263496135039,1229.6358945,313.21535177,-51.0424181098,0.0267632780123
AGAVE SYRUP ( ORGANIC ) / 473ML,Suzanne's Specialties,Sweeteners,647.1,80.1,5.79563671711,39.0,0.0283236460105,1229.6358945,313.21535177,-47.3746657124,0.0137639715492
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ),NGS,Flour,300.0,60.0,10.582301703,16.0,0.0131310366298,1229.6358945,313.21535177,-75.6025339418,0.0103100910481
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,4648.48,904.18,12.2009283657,40.0,0.203464537177,1229.6358945,313.21535177,278.037110074,0.155369635398
ALL PURPOSE BAKING FLOUR (GLUTEN FREE),0,Baking products,4011.6,764.1,21.4851386475,9.0,0.175588221814,1229.6358945,313.21535177,226.242916131,0.131299009497
ALL PURPOSE BAKING FLOUR (GLUTEN FREE),0,General,1375.75,266.25,36.8175947547,11.0,0.0602167454783,1229.6358945,313.21535177,11.8827130987,0.0457510290259
ALMOND BISCUITS (GLUTEN FREE - TRACES OF GLUTEN),0,Snacks,54.0,54.0,3.43660831319,12.0,0.00236358659337,1229.6358945,313.21535177,-95.6084561095,0.00927908194328
ALMOND BREAD (GLUTEN FREE),0,Bread,180.0,45.0,0.0,7.0,0.0078786219779,1229.6358945,313.21535177,-85.3615203651,0.00773256828606
ALMOND BUTTER,0,Nut butter,7003.06797,1335.06797,68.1974637425,9.0,0.306525140118,1229.6358945,313.21535177,469.523710338,0.229411205435
ALMOND BUTTER (HOME-MADE),Signature,spreads,4380.0,584.0,21.5336366931,22.0,0.191713134796,1229.6358945,313.21535177,256.20300445,0.100351552868
ALMOND BUTTER (NATURAL),0,Nut butter,2340.0,468.0,43.5188887884,8.0,0.102422085713,1229.6358945,313.21535177,90.3002352542,0.0804187101751
ALMOND MEAL FLOUR,0,Baking products,12723.237064,2630.467064,34.1126471445,11.0,0.556897639791,1229.6358945,313.21535177,934.715814732,0.45200591548
ALMOND MILK ( ORGANIC ),Alpro,Non-dairy milk,211.5,44.52,2.2669119635,24.0,0.00925738082403,1229.6358945,313.21535177,-82.799786429,0.00765008755768
ALMOND MILK ( ORGANIC ) / 946ML,Pacific Natural Foods,Non-dairy milk,9418.84,1695.44,12.1571944294,40.0,0.412263776835,1229.6358945,313.21535177,665.98609736,0.291335679443
ALMOND MILK ( ORGANIC ) 946ML,0,Non-dairy milk,102.0,25.2,0.0,11.0,0.00446455245414,1229.6358945,313.21535177,-91.7048615402,0.0043302382402
ALMOND MILK ( ORIGINAL ),NGS,Non-dairy milk,1128.4,216.4,8.04696986932,20.0,0.049390205777,1229.6358945,313.21535177,-8.23299766633,0.0371850617134
ALMOND MILK (ORGANIC) - SUGAR-FREE,0,Non-dairy milk,5051.720515,221.720515,14.9075256073,5.0,0.221114423754,1229.6358945,313.21535177,310.830599335,0.0380993116146
ALMOND MILK (UNSWEETENED),0,Non-dairy milk,608.0,152.0,0.0,16.0,0.0266122342365,1229.6358945,313.21535177,-50.5544687887,0.0261188973218
ALMOND MILK WITH DARK CHOCOLATE,Pure almond,Non-dairy milk,57.0,11.44,0.0,24.0,0.00249489695967,1229.6358945,313.21535177,-95.3644814489,0.00196579069317
ALMOND MILK WITH VANILLA,Pure almond,Non-dairy milk,114.0,24.16,5.94630943593,24.0,0.00498979391934,1229.6358945,313.21535177,-90.7289628979,0.00415152999536
ALMOND ORIGINAL (ORIGINAL),0,Non-dairy milk,512.0,128.0,13.0115783429,17.0,0.0224103025149,1229.6358945,313.21535177,-58.3616579273,0.0219948609026
ALMOND'S AND OATS BODY SCRUB,0,Cosmetics,70.0,14.0,0.0,18.0,0.00306390854696,1229.6358945,313.21535177,-94.3072579197,0.00240568791122
ALMONDS SHELL ON - ROASTED & SALTED / 250G,NGS,Dried Fruits & Nuts,301.8,64.3,6.19565586388,44.0,0.0132098228496,1229.6358945,313.21535177,-75.4561491454,0.0110489809065
ALPHABET PASTA ( GLUTEN FREE ) - ITALIAN,NGS,Pasta,262.5,52.5,2.6004484707,27.0,0.0114896570511,1229.6358945,313.21535177,-78.6522171991,0.00902132966707
AMARANTH,0,Grains,1278.8,333.8,11.9896042417,11.0,0.0559732321408,1229.6358945,313.21535177,3.99826531753,0.0573584731975
AMARANTH (ORGANIC),0,Grains,182.0,49.0,15.6425722507,5.0,0.0079661622221,1229.6358945,313.21535177,-85.1988705913,0.00841990768927
AMERICAN GREEN APPLE / 500G,NGS,Fresh Produce,500.79,100.47,6.31090197674,45.0,0.0219196394462,1229.6358945,313.21535177,-59.273309909,0.01726424746
