Product,Brand,Type,Date,Revenue,Gross Profit,CMGR,Average Revenue,Average Gross Profit,%Total Revenue,% Variation from Average,%Total Gross Profit
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2012-12-01,31.9,4.9,10.6505775564,27.9462703296,7.11853072209,0.00139626689497,14.1476111976,0.000841990768921
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-01-01,127.6,19.6,10.6505775564,27.9462703296,7.11853072209,0.00558506757988,356.59044479,0.00336796307568
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-02-01,31.9,4.9,10.6505775564,27.9462703296,7.11853072209,0.00139626689497,14.1476111976,0.000841990768921
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-03-01,255.2,39.2,10.6505775564,27.9462703296,7.11853072209,0.0111701351598,813.18088958,0.00673592615137
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-04-01,382.8,58.8,10.6505775564,27.9462703296,7.11853072209,0.0167552027396,1269.77133437,0.0101038892271
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-05-01,31.9,4.9,10.6505775564,27.9462703296,7.11853072209,0.00139626689497,14.1476111976,0.000841990768921
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-06-01,95.7,14.7,10.6505775564,27.9462703296,7.11853072209,0.00418880068491,242.442833593,0.00252597230676
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-08-01,31.9,4.9,10.6505775564,27.9462703296,7.11853072209,0.00139626689497,14.1476111976,0.000841990768921
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-09-01,302.4,72.0,10.6505775564,27.9462703296,7.11853072209,0.0132360849228,982.076414613,0.0123721092576
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-10-01,134.4,32.0,10.6505775564,27.9462703296,7.11853072209,0.00588270441015,380.922850939,0.00549871522561
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-11-01,67.2,16.0,10.6505775564,27.9462703296,7.11853072209,0.00294135220508,140.461425469,0.0027493576128
ACAI BERRY JUICE,Berry company,Juices,2014-02-01,31.0,8.0,9.23288997809,27.9462703296,7.11853072209,0.00135687378508,10.9271456779,0.0013746788064
ACAI BERRY JUICE,Berry company,Juices,2014-03-01,62.0,16.0,9.23288997809,27.9462703296,7.11853072209,0.00271374757016,121.854291356,0.0027493576128
ACAI BERRY JUICE,Berry company,Juices,2014-04-01,124.0,32.0,9.23288997809,27.9462703296,7.11853072209,0.00542749514032,343.708582711,0.00549871522561
ACAI BERRY JUICE,Berry company,Juices,2014-05-01,62.0,16.0,9.23288997809,27.9462703296,7.11853072209,0.00271374757016,121.854291356,0.0027493576128
ACAI BERRY JUICE,Berry company,Juices,2014-06-01,29.0,6.0,9.23288997809,27.9462703296,7.11853072209,0.00126933354088,3.77055563414,0.0010310091048
ACNE FACIAL SOAP,Healing Herbs,Cosmetics,2014-07-01,55.0,11.0,3.3557783007,27.9462703296,7.11853072209,0.00240735671546,96.8062262027,0.0018901833588
