Type,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Gross Profit,Revenue,Cost of Goods,Margin,Tax
Beef,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,216.800000,8020.915000,4441.315800,2739.938883,2762.000680,4310.520000,3834.267535,3474.567522,3712.690797,33513.016217,133594.461217,100081.445000,0.250856,0.000000
Cereal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.680000,251.720000,223.030000,191.830000,54.780000,134.790000,84.670000,87.050000,19.400000,141.300000,145.000000,184.000000,109.450000,187.050000,190.080000,26.350000,61.850000,1149.170000,683.890000,720.190000,555.100000,583.260000,361.510000,196.860000,128.000000,0.000000,0.000000,0.000000,973.440000,13270.336000,10943.448000,815.732598,2057.230000,1693.205604,140.700000,246.026190,187.831266,36827.959659,130020.519659,93192.560000,0.283247,0.000000
Grains,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.100000,235.000000,246.000000,209.100000,173.100000,196.900000,40.400000,44.900000,5.000000,841.450000,799.200000,1123.500000,241.700000,502.000000,82.150000,658.650000,724.000000,1106.500000,326.120000,545.050000,840.770000,1369.060000,812.170000,1788.990000,1758.260000,365.500000,0.000000,0.000000,88.000000,1442.450000,581.067393,404.000000,869.244896,1339.433436,1075.500000,1170.723330,1025.286794,23061.275849,125843.745849,102782.470000,0.183253,0.000000
Poultry,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,579.500000,6352.720000,1876.727350,1186.880000,2981.405289,3226.545081,6271.793514,5949.969900,4751.429922,33176.971056,125610.481056,92433.510000,0.264126,0.000000
Fresh vegetables,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,161.480000,1513.150000,994.590000,1045.790000,775.420000,938.050000,756.280000,416.720000,341.720000,705.940000,542.730000,545.390000,294.452915,435.270000,435.960000,428.140000,784.880000,1546.460000,1700.050000,1302.500000,1925.520000,2125.010000,1712.580000,1785.550000,1324.600000,435.710000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24973.942915,110906.972915,85933.030000,0.225179,0.000000
Fresh poultry,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,127.740000,606.660000,947.740000,878.300000,730.520000,1065.520000,761.300000,558.500000,472.980000,1096.300000,617.500000,800.380000,869.480000,790.180000,779.220000,662.360000,800.980000,769.500000,1538.500000,1041.250000,1463.750000,1625.450000,1665.000000,1793.000000,1639.500000,617.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24719.360000,106463.660000,81744.300000,0.232186,0.000000
Oil,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.200000,34.200000,33.200000,56.500000,11.400000,33.200000,11.400000,0.000000,10.900000,13.500000,40.000000,27.000000,26.500000,40.000000,40.000000,65.500000,65.000000,60.000000,28.500000,519.480000,1044.420000,995.280000,1786.100000,2363.400000,315.500000,0.000000,0.000000,1032.000000,3904.750000,1162.060000,670.305155,1625.160000,1403.915409,1960.246342,2793.900058,1531.363912,23737.880875,99270.060875,75532.180000,0.239124,0.000000
Dried fruits,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60.820000,268.940000,451.090000,201.420000,370.630000,244.580000,518.250000,231.420000,68.690000,365.097000,395.920000,594.350000,474.760000,168.370000,211.920000,418.190000,305.880000,360.360000,371.590000,247.810000,379.330000,610.250000,5920.040000,470.390000,2530.720000,114.060000,0.000000,0.000000,125.370000,3331.752000,2219.028000,597.801959,942.600000,1498.770000,1479.348427,1803.078832,1625.955503,29978.581721,87070.649221,57092.067500,0.344302,0.000000
Fresh Beef & Poultry,0.000000,0.000000,5054.564000,885.650030,1608.990080,1525.490020,2421.009990,271.120000,1237.180000,478.890000,535.550000,305.280000,478.790000,609.130000,645.120000,167.100000,417.180000,367.370000,256.740000,418.080000,365.980000,199.090000,375.630000,380.970000,376.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19381.474120,83842.480010,64461.005890,0.231165,0.000000
Fresh fruits,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,93.220000,471.840000,391.700000,625.670000,416.210000,501.950000,570.060000,175.970000,217.350000,480.750000,268.670000,1973.250000,1269.465673,271.110000,238.080000,916.920000,529.420000,762.040000,1400.110000,840.610000,817.500000,1371.960000,1105.460000,1357.740000,1029.190000,301.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18397.535673,75657.095673,57259.560000,0.243170,0.000000
Vegetables,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,370.980000,4863.800000,2225.635000,1723.923342,2827.156577,2672.663414,4427.414335,5040.413821,1990.374762,26142.361251,73227.441251,47085.080000,0.357002,0.000000
Nuts,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,68.610000,319.980000,386.750000,343.210000,432.540000,368.090000,470.980000,486.150000,96.630000,337.330000,321.030000,838.300000,546.550000,300.000000,267.940000,395.250000,304.500000,288.350000,246.520000,210.340000,289.470000,662.175000,433.160000,552.390000,730.890000,96.120000,0.000000,0.000000,192.000000,2136.310000,511.130000,416.120000,542.465228,1215.840000,910.973285,873.411078,1173.875556,17765.380147,64470.575147,46705.195000,0.275558,0.000000
Non-dairy milk,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.600000,367.500000,196.000000,362.600000,377.300000,392.000000,151.900000,14.700000,24.500000,661.940000,456.000000,104.000000,64.000000,134.250000,36.000000,65.500000,290.450000,435.440000,201.650000,289.390000,159.340000,579.350000,855.950000,475.010000,587.670000,59.000000,0.000000,0.000000,83.000000,996.950000,847.500000,231.250000,348.500000,325.000000,82.500000,259.710057,224.000000,10759.450057,56708.350057,45948.900000,0.189733,0.000000
Seeds,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.000000,32.500000,32.500000,13.000000,6.500000,0.000000,0.000000,0.000000,70.000000,30.000000,30.000000,12.500000,87.500000,0.000000,12.500000,154.000000,70.000000,227.980000,233.040000,218.670000,82.207500,371.110000,409.630000,276.080000,175.000000,0.000000,0.000000,68.220000,4272.982000,1734.414000,551.064021,363.710000,646.604403,927.220000,3739.067665,800.094518,15661.094106,56654.104106,40993.010000,0.276434,0.000000
Fruits,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,424.000000,3362.100000,1689.380000,1245.454874,1896.236573,2112.140000,2187.641766,2572.504572,1623.115433,17112.573217,56451.013217,39338.440000,0.303140,0.000000
General,0.000000,0.000000,895.000000,455.000000,660.000000,790.000000,1280.000000,170.000000,220.000000,105.000000,70.000000,70.000000,105.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.000000,35.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,720.000000,1170.000000,1215.000000,1680.000000,1444.550000,1500.200000,210.000000,0.000000,0.000000,315.000000,8285.750000,4232.624782,2585.424870,3810.030397,4350.786757,5953.902232,7508.493786,4531.140744,54402.903568,56396.343568,1993.440000,0.964653,0.000000
Fresh beef,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,566.560000,1530.770000,1166.360000,1327.790000,602.350000,1083.990000,1253.810000,553.360000,174.710000,1642.697820,739.350000,709.990000,651.180000,693.030000,497.110000,656.720000,488.510000,993.800000,0.000000,2.050000,20.340000,0.000000,0.000000,588.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15942.637820,56064.587820,40121.950000,0.284362,0.000000
Baking products,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.250000,1161.860000,825.450000,695.050000,2771.580000,2086.050000,1691.378689,2323.820292,927.164614,12714.603595,55543.973595,42829.370000,0.228911,0.000000
Food supplements,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.800000,228.900000,234.220000,125.000000,174.700000,230.100000,152.700000,173.400000,23.300000,108.175000,225.080000,131.600000,71.100000,133.000000,185.160000,118.100000,108.900000,166.410000,327.370000,208.620000,469.280000,576.440000,430.940000,948.810000,458.000000,11.430000,0.000000,0.000000,124.000000,1652.450000,508.364000,527.691589,747.760000,765.948550,877.340608,1036.892376,420.012155,12729.994277,54716.034277,41986.040000,0.232656,0.000000
Chemical free beef,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,1017.200000,1501.760000,1864.200000,1719.350000,2145.750000,4311.850000,1579.600000,1047.500000,0.000000,0.000000,0.000000,0.000000,19.000000,0.000000,100.750000,63.000000,0.000000,0.000000,0.000000,15484.960000,53568.500000,38083.540000,0.289068,0.000000
Pasta,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.900000,112.100000,88.500000,118.000000,94.400000,94.400000,70.800000,17.700000,0.000000,227.250000,144.000000,108.000000,97.950000,277.200000,190.650000,125.850000,319.740000,502.100000,387.250000,216.250000,392.850000,563.000000,589.500000,489.950000,369.000000,107.750000,0.000000,0.000000,0.000000,377.500000,356.000000,153.500000,883.007739,529.500000,637.085737,574.062149,369.693787,9590.439413,43007.699413,33417.260000,0.222994,0.000000
Cosmetics,0.000000,0.000000,30.830000,70.690000,35.440000,141.160000,197.480000,0.000000,90.490000,92.350000,84.860000,11.800000,11.800000,11.000000,6.700000,0.000000,6.700000,13.000000,0.000000,70.100000,131.000000,46.000000,26.000000,26.000000,36.000000,202.000000,202.670000,173.260000,139.460000,134.300000,268.550000,230.280000,73.900000,0.000000,0.000000,120.000000,945.500000,414.500000,212.250000,406.250000,283.500000,1290.698035,1598.099851,931.637859,8766.255746,37253.335746,28487.080000,0.235315,0.000000
Sweeteners,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.900000,46.500000,28.400000,48.700000,62.600000,62.060000,63.080000,41.560000,45.540000,38.105000,28.860000,19.240000,24.050000,155.300000,72.800000,28.060000,0.000000,15.600000,72.900000,14.480000,31.440000,63.960000,84.120000,185.940000,211.800000,34.950000,0.000000,0.000000,285.750000,1682.900000,912.550474,182.697938,704.010000,510.090000,1110.420000,547.024903,563.430000,7982.818315,34505.028315,26522.210000,0.231352,0.000000
Rice,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.400000,94.500000,82.500000,74.300000,93.500000,112.400000,106.250000,22.800000,17.100000,187.700000,140.150000,129.800000,98.100000,91.850000,65.450000,51.900000,142.200000,384.550000,354.600000,371.450000,272.340000,405.200000,411.740000,282.400000,381.500000,87.580000,0.000000,0.000000,24.000000,578.350000,484.250000,341.926382,314.778221,380.200000,314.112712,470.607610,334.134951,7733.619875,33828.029875,26094.410000,0.228616,0.000000
Snacks,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.800000,57.800000,43.700000,23.500000,44.400000,49.800000,15.500000,14.800000,34.850000,75.000000,57.000000,47.250000,28.700000,100.360000,24.700000,19.620000,16.310000,0.000000,15.000000,0.000000,23.000000,51.570000,98.000000,45.570000,0.000000,0.000000,0.000000,1511.800000,1837.340000,656.400000,50.158100,817.301702,1118.750000,650.140000,719.434955,290.193333,8591.748090,33681.928090,25090.180000,0.255085,0.000000
Honey,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,6.000000,0.000000,12.000000,0.000000,0.000000,1.500000,0.000000,4.500000,6.000000,0.000000,0.000000,1.500000,41.500000,29.000000,6.000000,94.700000,108.400000,88.500000,258.500000,137.500000,224.250000,186.550000,194.000000,11.300000,0.000000,0.000000,400.000000,680.000000,131.100000,144.000000,1070.604396,869.280000,1817.244609,1913.809820,669.435445,9110.174269,33139.464269,24029.290000,0.274904,0.000000
Chemical free poultry,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.610000,170.890000,362.880000,258.720000,127.680000,682.780000,950.400000,1887.800000,220.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4715.260000,27566.100000,22850.840000,0.171053,0.000000
Sea Food,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,496.000000,1271.400000,554.700000,544.400000,613.343537,1104.000000,928.800000,1466.537733,1986.898371,8966.079641,27208.359641,18242.280000,0.329534,0.000000
Fresh veal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,288.000000,216.000000,504.000000,360.000000,168.000000,312.000000,360.000000,384.000000,192.000000,504.000000,216.000000,264.000000,288.000000,360.000000,192.000000,144.000000,312.000000,584.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5648.000000,24128.000000,18480.000000,0.234085,0.000000
Eggs,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,76.500000,153.000000,189.000000,175.500000,162.000000,106.800000,118.900000,159.350000,375.950000,419.100000,68.750000,0.000000,0.000000,9.000000,471.750000,407.500000,279.500000,477.000000,517.015094,491.000000,531.800135,252.540126,5450.955355,23706.655355,18255.700000,0.229934,0.000000
Delivery,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,280.000000,1175.000000,1470.000000,1585.000000,1360.000000,1415.000000,1450.000000,815.000000,440.000000,1374.000000,1065.000000,1310.000000,893.761412,1075.000000,845.000000,905.000000,1065.000000,1235.000000,0.000000,60.000000,60.000000,30.000000,20.000000,60.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20037.761412,23237.761412,3200.000000,0.862293,0.000000
