Product,Brand,Type,Revenue,Gross Profit,CMGR,Period,%Total Revenue,Average Revenue,Average Gross Profit,% Variation from Average,%Total Gross Profit
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,1492.9,271.9,10.6505775564,38.0,0.0634988853346,1251.23198091,318.640369211,19.3144055437,0.0454131504055
ACAI BERRY JUICE,0,Beverages,60.0,12.0,0.0,4.0,0.00255203504593,1251.23198091,318.640369211,-95.2047261487,0.00200425820105
ACAI BERRY JUICE,Berry company,Juices,308.0,78.0,9.23288997809,26.0,0.0131004465691,1251.23198091,318.640369211,-75.3842608966,0.0130276783068
ACNE FACIAL SOAP,Healing Herbs,Cosmetics,110.0,22.0,3.3557783007,21.0,0.00467873091755,1251.23198091,318.640369211,-91.2086646059,0.0036744733686
ACQUA PANA WATER 1000ML,NGS,Beverages,10.0,10.0,0.0,24.0,0.000425339174322,1251.23198091,318.640369211,-99.2007876914,0.00167021516754
ACQUA PANA WATER 500ML,NGS,Beverages,6.5,6.5,0.0,24.0,0.00027647046331,1251.23198091,318.640369211,-99.4805119994,0.0010856398589
ACQUA PANA WATER 500ML GLASS,NGS,Beverages,9.0,9.0,0.0,24.0,0.00038280525689,1251.23198091,318.640369211,-99.2807089223,0.00150319365079
ACTIBIF CHEESE (FOR BETTER DIGESTION),0,cheese,340.0,80.0,22.2844544994,8.0,0.014461531927,1251.23198091,318.640369211,-72.8267815092,0.0133617213404
AGAR AGAR FLAKES (HAND HARVESTED) - WILD,0,Food supplements,688.0,178.0,20.8089444404,11.0,0.0292633351934,1251.23198091,318.640369211,-45.0141931716,0.0297298299823
AGAVE SYRUP ( ORGANIC ) / 473ML,Suzanne's Specialties,Sweeteners,647.1,80.1,5.79563671711,39.0,0.0275236979704,1251.23198091,318.640369211,-48.2829715136,0.013378423492
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ),NGS,Flour,300.0,60.0,10.582301703,16.0,0.0127601752297,1251.23198091,318.640369211,-76.0236307434,0.0100212910053
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,4648.48,904.18,12.2009283657,40.0,0.197718064505,1251.23198091,318.640369211,271.512243206,0.151017515019
ALL PURPOSE BAKING FLOUR (GLUTEN FREE),0,Baking products,4231.6,819.1,22.2079574347,9.0,0.179986525006,1251.23198091,318.640369211,238.194680487,0.136807324374
ALL PURPOSE BAKING FLOUR (GLUTEN FREE),0,General,1375.75,266.25,36.8175947547,11.0,0.0585160369074,1251.23198091,318.640369211,9.95163334902,0.0444694788359
ALMOND BISCUITS (GLUTEN FREE - TRACES OF GLUTEN),0,Snacks,54.0,54.0,3.43660831319,12.0,0.00229683154134,1251.23198091,318.640369211,-95.6842535338,0.00901916190474
ALMOND BREAD (GLUTEN FREE),0,Bread,180.0,45.0,0.0,7.0,0.0076561051378,1251.23198091,318.640369211,-85.6141784461,0.00751596825395
ALMOND BUTTER,0,Nut butter,8303.06797,1595.06797,71.4099930818,9.0,0.35316200747,1251.23198091,318.640369211,563.591412037,0.266410671676
ALMOND BUTTER (HOME-MADE),Signature,spreads,4380.0,584.0,21.5336366931,22.0,0.186298558353,1251.23198091,318.640369211,250.054991146,0.0975405657846
ALMOND BUTTER (NATURAL),0,Nut butter,2795.0,559.0,46.7421262184,8.0,0.118882299223,1251.23198091,318.640369211,123.37984024,0.0933650278657
ALMOND MEAL FLOUR,0,Baking products,12723.237064,2630.467064,34.1126471445,11.0,0.541169114751,1251.23198091,318.640369211,916.856766617,0.439344598802
ALMOND MILK ( ORGANIC ),Alpro,Non-dairy milk,211.5,44.52,2.2669119635,24.0,0.00899592353692,1251.23198091,318.640369211,-83.0966596741,0.00743579792591
ALMOND MILK ( ORGANIC ) / 946ML,Pacific Natural Foods,Non-dairy milk,9418.84,1695.44,12.1571944294,40.0,0.400620162868,1251.23198091,318.640369211,652.765286028,0.283174960366
ALMOND MILK ( ORGANIC ) 946ML,0,Non-dairy milk,102.0,25.2,0.0,11.0,0.00433845957809,1251.23198091,318.640369211,-91.8480344528,0.00420894222221
ALMOND MILK ( ORIGINAL ),NGS,Non-dairy milk,1128.4,216.4,8.04696986932,20.0,0.0479952724305,1251.23198091,318.640369211,-9.81688310301,0.0361434562257
ALMOND MILK (ORGANIC) - SUGAR-FREE,0,Non-dairy milk,5051.720515,221.720515,14.9075256073,5.0,0.214869463276,1251.23198091,318.640369211,303.739721495,0.0370320967109
ALMOND MILK (UNSWEETENED),0,Non-dairy milk,608.0,152.0,0.0,16.0,0.0258606217988,1251.23198091,318.640369211,-51.40789164,0.0253872705467
ALMOND MILK WITH DARK CHOCOLATE,Pure almond,Non-dairy milk,57.0,11.44,0.0,24.0,0.00242443329364,1251.23198091,318.640369211,-95.4444898413,0.00191072615167
ALMOND MILK WITH VANILLA,Pure almond,Non-dairy milk,114.0,24.16,5.94630943593,24.0,0.00484886658728,1251.23198091,318.640369211,-90.8889796825,0.00403523984479
ALMOND ORIGINAL (ORIGINAL),0,Non-dairy milk,512.0,128.0,13.0115783429,17.0,0.0217773657253,1251.23198091,318.640369211,-59.0803298021,0.0213787541446
ALMOND'S AND OATS BODY SCRUB,0,Cosmetics,70.0,14.0,0.0,18.0,0.00297737422026,1251.23198091,318.640369211,-94.4055138401,0.00233830123456
ALMONDS SHELL ON - ROASTED & SALTED / 250G,NGS,Dried Fruits & Nuts,301.8,64.3,6.19565586388,44.0,0.0128367362811,1251.23198091,318.640369211,-75.8797725279,0.0107394835273
ALPHABET PASTA ( GLUTEN FREE ) - ITALIAN,NGS,Pasta,262.5,52.5,2.6004484707,27.0,0.011165153326,1251.23198091,318.640369211,-79.0206769005,0.00876862962961
AMARANTH,0,Grains,1278.8,333.8,11.9896042417,11.0,0.0543923736124,1251.23198091,318.640369211,2.20327001761,0.0557517822926
AMARANTH (ORGANIC),0,Grains,276.0,76.36,25.6855303293,5.0,0.0117393612113,1251.23198091,318.640369211,-77.941740284,0.0127537630194
AMERICAN GREEN APPLE / 500G,NGS,Fresh Produce,500.79,100.47,6.31090197674,45.0,0.0213005605109,1251.23198091,318.640369211,-59.9762468,0.0167806517883
AMERICAN GREEN APPLES,Kheir Misr,Fresh vegetables,2037.07,405.8,6.03888234382,39.0,0.0866445671837,1251.23198091,318.640369211,62.8051417382,0.0677773314989
AMERICAN RED APPLE / 500G,NGS,Fresh Produce,566.62,130.79,4.78689566977,45.0,0.0241005682955,1251.23198091,318.640369211,-54.7150321728,0.0218447441763
AMERICAN RED APPLES,Kheir Misr,Fresh fruits,2657.25,457.21,9.57416760875,39.0,0.113023252097,1251.23198091,318.640369211,112.37069069,0.0763639076753
AMERICAN YELLOW APPLES,Kheir Misr,Fresh fruits,952.97,201.31,6.63294552164,39.0,0.0405335472954,1251.23198091,318.640369211,-23.8374646319,0.0336231015378
AMINO FUEL - ANABOLIC LIQUID,0,Food supplements,328.0,65.5,0.0,6.0,0.0139511249178,1251.23198091,318.640369211,-73.7858362795,0.0109399093474
ANIMAL SHAPED BISCUITS ( GLUTEN FREE ),0,Snacks,232.0,47.2,0.0,11.0,0.00986786884428,1251.23198091,318.640369211,-81.4582744416,0.00788341559081
ANIMAL SHAPED BISCUITS ( GLUTEN FREE ),NGS,Cookies,310.3,56.2,9.76505491256,18.0,0.0131982745792,1251.23198091,318.640369211,-75.2004420656,0.0093866092416
ANNAS ALMOND THINS,Biscuits,Snacks,50.25,10.05,4.49243511441,25.0,0.00213732935097,1251.23198091,318.640369211,-95.9839581495,0.00167856624338
ANNAS CAPPUCCINO THINS,Biscuits,Snacks,67.0,13.4,2.70180507088,26.0,0.00284977246796,1251.23198091,318.640369211,-94.6452775327,0.00223808832451
ANTI-CELLULITE BODY SCRUB (WITH COFFEE&VANILLA),0,Cosmetics,70.0,22.0,0.0,15.0,0.00297737422026,1251.23198091,318.640369211,-94.4055138401,0.0036744733686
ANTI-FRIZZ HAIR SERUM,0,Cosmetics,120.0,24.0,3.92592260318,18.0,0.00510407009187,1251.23198091,318.640369211,-90.4094522974,0.00400851640211
ANTISEPTIC CREAM WITH TEA TREE OIL / 118ML,"Tea Tree Therapy, Inc.",Cosmetics,203.4,30.6,2.85700594374,39.0,0.00865139880572,1251.23198091,318.640369211,-83.7440216441,0.00511085841269
APPLE AND MANGO JUICE ( ORGANIC ),Voelkel,Juices,41.25,8.25,0.0,24.0,0.00175452409408,1251.23198091,318.640369211,-96.7032492272,0.00137792751322
APPLE CIDER VINEGAR ( ORGANIC ),0,Vinegar,9385.665038,2631.045038,59.3552651214,12.0,0.399209101773,1251.23198091,318.640369211,650.113902231,0.439441132896
APPLE CIDER VINEGAR ( ORGANIC ) / 473G,"Eden Foods, Inc.",Vinegar,6313.1,1827.54,14.5159450906,40.0,0.268520874141,1251.23198091,318.640369211,404.550722512,0.305238502729
APPLE CINNAMON BROWN RICE CAKES / 269G,Lundberg Family Farms,Snacks,1114.25,180.3,4.97883267453,39.0,0.0473934174989,1251.23198091,318.640369211,-10.9477685196,0.0301139794708
APPLE CINNAMON NO FAT GRANOLA / 340G,Bob's Red Mill,Cereal,198.0,36.0,1.07118570701,27.0,0.00842171565158,1251.23198091,318.640369211,-84.1755962907,0.00601277460316
APPLES (SUKARY),Kheir Misr,Fresh fruits,3194.56,548.74,8.64437022956,39.0,0.135877151272,1251.23198091,318.640369211,155.313167241,0.0916513871038
APPRICOT,NGS,Fresh fruits,219.25,47.26,11.1089310906,21.0,0.00932556139702,1251.23198091,318.640369211,-82.477270135,0.00789343688181
APPRICOT,NGS,Fruits,439.328571,151.458571,9.33918400609,10.0,0.0186863651645,1251.23198091,318.640369211,-64.8883198558,0.0252968402539
APRICOT JAM (NATURAL),0,Jam,120.0,30.0,0.0,7.0,0.00510407009187,1251.23198091,318.640369211,-90.4094522974,0.00501064550263
ARGAN OIL HAIR CONDITIONER,Healing Herbs,Cosmetics,300.0,60.0,4.25290903579,22.0,0.0127601752297,1251.23198091,318.640369211,-76.0236307434,0.0100212910053
ARTICHOKE,NGS,Fresh vegetables,117.0,26.91,3.23683590554,37.0,0.00497646833957,1251.23198091,318.640369211,-90.6492159899,0.00449454901586
ARUGULA ( AQUAPONIC ),Bustan,Aquaponic vegetables,68.75,13.75,3.33979881212,24.0,0.00292420682347,1251.23198091,318.640369211,-94.5054153787,0.00229654585537
ARUGULA ( CHEMICAL FREE ),NGS,Fresh vegetables,104.0,21.06,2.93729260755,19.0,0.00442352741295,1251.23198091,318.640369211,-91.6881919911,0.00351747314285
ARUGULA - CHEMICAL FREE (AQUAPONIC),0,Vegetables,24.0,8.0,0.0,5.0,0.00102081401837,1251.23198091,318.640369211,-98.0818904595,0.00133617213404
ARUGULA(CHEMICAL FREE),0,Chemical free vegetables,330.0,75.0,9.35324295605,18.0,0.0140361927526,1251.23198091,318.640369211,-73.6259938178,0.0125266137566
ARUGULA(CHEMICAL FREE),0,Vegetables,1394.740375,502.620375,36.6149684301,12.0,0.0593237719497,1251.23198091,318.640369211,11.4693674934,0.0839484173842
ASHWAGANDHA ROOT,"Starwest Botanicals,Inc.",Herbs,329.0,45.5,5.11608574875,39.0,0.0139936588352,1251.23198091,318.640369211,-73.7059150486,0.00759947901233
ASPARAGUS (CHEMICAL FREE),0,Chemical free vegetables,1052.8,282.8,2.85129135058,17.0,0.0447797082727,1251.23198091,318.640369211,-15.8589281557,0.0472336849382
AUBERGENE (ROUMY),NGS,Fresh vegetables,28.0,4.0,7.77794886229,23.0,0.0011909496881,1251.23198091,318.640369211,-97.7622055361,0.000668086067018
AUBERGENE (ROUMY) - CHEMICAL FREE,NGS,Fresh vegetables,445.0,98.88,15.9200533017,21.0,0.0189275932573,1251.23198091,318.640369211,-64.4350522694,0.0165150875767
AUBERGENE (ROUMY) - ORGANIC,0,Vegetables,809.23587,366.79587,52.7890017331,12.0,0.0344199716778,1251.23198091,318.640369211,-35.3248732174,0.0612628025467
AUBERGINE (ROUMY),Kheir Misr,Fresh vegetables,245.037955,42.167955,10.9057897662,40.0,0.0104224241457,1251.23198091,318.640369211,-80.4162650302,0.00704295580253
AUBERGINE AROUS BLACK,NGS,Fresh vegetables,21.0,3.2,1.47367585551,23.0,0.000893212266077,1251.23198091,318.640369211,-98.321654152,0.000534468853614
AUBERGINE AROUS WHITE,NGS,Fresh vegetables,13.25,3.25,3.32097973508,23.0,0.000563574405977,1251.23198091,318.640369211,-98.9410436912,0.000542819929452
AUSTRALIAN BEEF FILLET,NGS,Australian beef,250.0,110.0,0.0,39.0,0.0106334793581,1251.23198091,318.640369211,-80.0196922862,0.018372366843
AUSTRALIAN BEEF RIB EYE,NGS,Australian beef,54.0,36.5,0.0,35.0,0.00229683154134,1251.23198091,318.640369211,-95.6842535338,0.00609628536154
AUSTRALIAN BEEF STEAK,NGS,Australian beef,132.0,76.0,1.16520800875,35.0,0.00561447710106,1251.23198091,318.640369211,-89.4503975271,0.0126936352733
AVOCADO,Kheir Misr,Fresh fruits,12049.565673,1954.455673,9.27773979204,40.0,0.51251523143,1251.23198091,318.640369211,863.016119857,0.326436150934
AVOCADO,NGS,Fresh Produce,1568.64,261.44,4.61010436771,45.0,0.0667204042409,1251.23198091,318.640369211,25.3676395687,0.0436661053403
AVOCADOES ( IMPORTED ),NGS,Fresh fruits,9742.3,2284.5,17.0830395506,23.0,0.4143781838,1251.23198091,318.640369211,678.61660736,0.381560655025
AVOCADOS,NGS,General,703.729488,261.359488,0.0,5.0,0.0299323719372,1251.23198091,318.640369211,-43.75707313,0.0436526581039
AVOCADOS (IMPORTED),NGS,Fruits,12251.227193,3591.187193,14.9735094321,11.0,0.521092685871,1251.23198091,318.640369211,879.133156751,0.599805531924
AZUKI BEANS,0,Grains,255.236184,52.736184,42.1339787156,5.0,0.010856194776,1251.23198091,318.640369211,-79.6012100159,0.00880807743952
BABY BLACK AUBERGENE,NGS,Fresh vegetables,100.0,34.67,4.68802349769,20.0,0.00425339174322,1251.23198091,318.640369211,-92.0078769145,0.00579063598588
BABY BLACK AUBERGENE (CHEMICAL FREE),0,Vegetables,30.0,10.0,0.0,10.0,0.00127601752297,1251.23198091,318.640369211,-97.6023630743,0.00167021516754
BABY BLACK AUBERGINE (CHEMICAL FREE) - ROUND,0,Vegetables,32.0,12.0,7.17734625363,10.0,0.00136108535783,1251.23198091,318.640369211,-97.4425206126,0.00200425820105
BABY BLACK AUBERGINE (ROUND),NGS,Fresh vegetables,350.0,146.04,16.7168056826,23.0,0.0148868711013,1251.23198091,318.640369211,-72.0275692007,0.0243918223068
BABY CARROT,NGS,Vegetables,40.0,33.48,10.717317889,9.0,0.00170135669729,1251.23198091,318.640369211,-96.8031507658,0.00559188038094
BABY CARROTS (CHEMICAL FREE),0,Chemical free vegetables,68.85,13.77,3.14196355916,19.0,0.00292846021521,1251.23198091,318.640369211,-94.4974232556,0.00229988628571
BABY CARROTS - CHEMICAL FREE / 500G,Kheir Misr,Fresh Produce,5.85,1.35,0.0,45.0,0.000248823416979,1251.23198091,318.640369211,-99.5324607995,0.000225479047618
BABY CHERRY CARROTS,NGS,Fresh vegetables,18.75,3.75,0.0,24.0,0.000797510951855,1251.23198091,318.640369211,-98.5014769215,0.000626330687829
BABY CORN,NGS,Chemical free vegetables,297.22,60.35,5.28913711067,22.0,0.0126419309392,1251.23198091,318.640369211,-76.2458117652,0.0100797485361
BABY FRENCH BEANS,Kheir Misr,Fresh vegetables,1051.57,284.92,3.5026421993,39.0,0.0447273915542,1251.23198091,318.640369211,-15.9572312696,0.0475877705537
BABY FRENCH SPINACH,Kheir Misr,Fresh vegetables,573.0,130.32,8.51566925619,40.0,0.0243719346887,1251.23198091,318.640369211,-54.20513472,0.0217662440634
BABY KALE,0,Fresh vegetables,338.8,109.78,3.95572564549,39.0,0.014410491226,1251.23198091,318.640369211,-72.9226869863,0.0183356221093
BABY LEAF LETTUCE ( AQUAPONIC ),Bustan,Aquaponic vegetables,60.0,12.0,5.94630943593,24.0,0.00255203504593,1251.23198091,318.640369211,-95.2047261487,0.00200425820105
BABY ONIONS,NGS,Fresh vegetables,169.25,45.0,8.86376917724,23.0,0.00719886552541,1251.23198091,318.640369211,-86.4733316778,0.00751596825395
BABY ONIONS,NGS,Vegetables,20.0,-0.6,2.25651825636,10.0,0.000850678348645,1251.23198091,318.640369211,-98.4015753829,-0.000100212910053
BABY PEARS,NGS,Fruits,182.0,52.0,0.0,5.0,0.00774117297267,1251.23198091,318.640369211,-85.4543359844,0.00868511887123
BABY POTATOES,0,Vegetables,26.0,13.0,0.0,11.0,0.00110588185324,1251.23198091,318.640369211,-97.9220479978,0.00217127971781
BABY POTATOES ( CHEMICAL FREE ),NGS,Fresh vegetables,194.35,47.95,2.44356997117,19.0,0.00826646685296,1251.23198091,318.640369211,-84.4673087833,0.00800868172837
BABY POTATOES (CHEMICAL FREE),0,Vegetables,262.75,72.93,2.15811742144,11.0,0.0111757868053,1251.23198091,318.640369211,-79.0006965928,0.0121808792169
BABY POTATOES / DEFAULT,NGS,Fresh vegetables,156.0,58.5,9.34192659578,23.0,0.00663529111943,1251.23198091,318.640369211,-87.5322879866,0.00977075873013
BABY RADISH,Kheir Misr,Fresh vegetables,180.18,51.42,2.85700594374,39.0,0.00766376124294,1251.23198091,318.640369211,-85.5997926245,0.00858824639151
BABY RED ONIONS ( CHEMICAL FREE ),NGS,Fresh vegetables,14.5,3.01,6.35184432171,19.0,0.000616741802768,1251.23198091,318.640369211,-98.8411421526,0.000502734765431
BABY SPINACH,NGS,Fresh vegetables,3802.3,1136.05,16.3684543288,24.0,0.161726714253,1251.23198091,318.640369211,203.884496081,0.189744794109
BABY SPINACH ( AQUAPONIC ),Bustan,Aquaponic vegetables,28.0,6.0,5.94630943593,24.0,0.0011909496881,1251.23198091,318.640369211,-97.7622055361,0.00100212910053
BABY SPINACH (CHEMICAL FREE),0,Vegetables,7536.913948,2776.913948,67.0152512354,12.0,0.320574475558,1251.23198091,318.640369211,502.359439574,0.463804379491
