Product,SKU,Date,Revenue,CMGR,Period,%Total Revenue,Average Revenue
BROWN RICE,6221078144296,2012-04-26,10.4,0.0,46.0,0.000375617279595392,120.03709832654123
LIVER WELLNESS TEA,6221078744045,2012-04-26,8.19,0.0,46.0,0.0002957986076813712,120.03709832654123
POWER PROTEIN BAR PEANUT,6221078185121,2012-04-26,9.1,0.0,46.0,0.000328665119645968,120.03709832654123
PUMPKIN SEEDS,6221078447144,2012-04-26,9.36,1.1166793196358382,46.0,0.0003380555516358528,120.03709832654123
RAW CASHEW,20014,2012-04-26,56.88,0.0,46.0,0.0020543375830178747,120.03709832654123
RAW PECAN,60011,2012-04-26,56.88,0.0,46.0,0.0020543375830178747,120.03709832654123
RAW PISTACHIO KERNEL,60014,2012-04-26,52.0,0.0,46.0,0.00187808639797696,120.03709832654123
RAW WALNUT WITHOUT SHELL,60008,2012-04-26,53.3,0.0,46.0,0.0019250385579263841,120.03709832654123
BLACK SEED OIL,6221078931117,2012-05-03,40.95,0.0,46.0,0.001478993038406856,120.03709832654123
BROWN RICE,6221078144296,2012-05-03,10.4,0.0,46.0,0.000375617279595392,120.03709832654123
GREEN TEA WITH ECHINACEA & BLACK SEEDS,6221078334062,2012-05-03,8.19,0.0,46.0,0.0002957986076813712,120.03709832654123
ORGANIC FLAX SEEDS,6221078784195,2012-05-03,16.58,0.0,46.0,0.0005988206245857306,120.03709832654123
ORGANIC SUN-DRIED MANGO CHIPS,6221078404055,2012-05-03,7.8,0.0,46.0,0.000281712959696544,120.03709832654123
POWER PROTEIN BAR PEANUT,6221078185121,2012-05-03,45.5,0.0,46.0,0.00164332559822984,120.03709832654123
PUMPKIN SEEDS,6221078447144,2012-05-03,9.36,1.1166793196358382,46.0,0.0003380555516358528,120.03709832654123
"RAVIOLI FIRE ROASTED TOMATO, MOZARELLA AND BASIL",8006013997896,2012-05-03,45.5,0.0,46.0,0.00164332559822984,120.03709832654123
RAW ALMONDS WITHOUT SHELL,60010,2012-05-03,63.39,0.0,46.0,0.0022894595532261443,120.03709832654123
