Date,Revenue,Cost of Goods,Gross Profit,Margin
2016-01-01,1200.0,774.68,425.32,0.354433
2016-01-02,5752.5,4112.82,1639.68,0.285038
2016-01-03,8860.2,6425.54,2434.66,0.274786
2016-01-04,9013.4,6451.81,2561.59,0.284198
2016-01-05,7731.7,5264.15,2467.55,0.319147
2016-01-06,11045.2,8036.77,3008.43,0.272374
2016-01-07,6261.65,4424.75,1836.9,0.293357
2016-01-08,3956.8,2682.35,1274.45,0.322091
2016-01-09,11472.6,8314.45,3158.15,0.275278
2016-01-10,9244.0,6508.61,2735.39,0.29591
2016-01-11,6772.0,4218.99,2553.01,0.376995
2016-01-12,6970.4,4288.2,2682.2,0.384799
2016-01-13,8698.8,6056.85,2641.95,0.303714
